rank,scheme_id,topsis_score,stability,hard_violations,same_city_repeat_index,pair_conflict_index,admin_diversity,sport_variance,sport_range,competition_suspense,hot_match_index,eco_cv,pop_cv,tour_cv,avg_inner_distance_km,geo_cover
478,S0701,0.5114622868804198,0.0,0,0.0,0.0,4.0,738.4682435548754,98.55688592203893,0.17560608922131912,900.5566143741673,0.7173613927760688,0.5619785697127795,0.3788339574735826,187.52280680575305,3.5625
479,S1964,0.5114087665729907,0.0,0,0.0,0.0,4.0,720.9493409912811,97.90101041043468,0.15452699866206343,855.3023747023593,0.6162072041256532,0.4346090420500973,0.3352164804315363,184.4766110074134,3.5
480,S0711,0.5113295124324181,0.0,0,0.0,0.0,4.0,717.4051987728585,90.82044904203185,0.15746517760703582,840.5993865893568,0.5975969159946539,0.4232826825537007,0.2941743866284987,189.0312297187549,3.5
481,S0905,0.511292729333399,0.0,0,0.0,0.0,4.0,846.0124991122528,117.39920345613436,0.17350526084790102,888.9834653697737,0.7049170526710566,0.4873869892533059,0.3899912318793321,178.28013904017567,3.5
482,S0334,0.511254301421147,0.0,0,0.0,0.0,4.0,793.2424251936002,93.57170485830902,0.14085820652785158,863.0034153132021,0.6444028482090066,0.4735343913370016,0.31312396039836476,176.83148150687003,3.4375
483,S1807,0.5111862513376899,0.0,0,0.0,0.0,4.0,750.6977699261615,87.60332661973194,0.14395293396675887,885.971725420017,0.7008060800377658,0.5068146883642912,0.3767738433929581,173.97374325804662,3.3125
484,S0871,0.5110229104073749,0.0,0,0.0,0.0,4.0,733.6619283965196,101.7890511315278,0.1603408430956968,861.5206525541194,0.6205832170870414,0.4766675039796448,0.3086510352071796,187.94916273848426,3.5625
485,S1917,0.5109460078737773,0.0,0,0.0,0.0,4.0,689.2597766294895,97.50841449167169,0.14648106853336693,852.2237836630056,0.5903821505935074,0.4150331278426344,0.3298334791682396,183.07210329473452,3.375
486,S1231,0.5108960982814286,0.0,0,0.0,0.0,4.0,647.1841216513877,77.32951526278208,0.14225078168313612,856.2101848676169,0.5981684567591465,0.44156253944678925,0.342755788672231,187.50821357037412,3.5
487,S1632,0.51086472545148,0.0,0,0.0,0.0,4.0,985.8808945589782,115.33407819974929,0.19174914027591175,871.2615705117393,0.6492130818218085,0.47741865918293763,0.365298860876864,181.72687500787666,3.375
488,S0687,0.5108045267508265,0.0,0,0.0,0.0,4.0,704.6633141751709,92.60445597226018,0.16508662402133276,858.2997866208188,0.6090178249816548,0.45293804863288295,0.33200019713369605,192.1972644973359,3.5625
489,S0561,0.510760647546174,0.0,0,0.0,0.0,4.0,677.7448686800651,90.53367144598445,0.15550606453459104,848.3514672084838,0.5922993796407297,0.43860323856583944,0.3203945580116796,189.96257945378719,3.5625
490,S0042,0.51072589879409,0.0,0,0.0,0.0,4.0,965.4806473052923,116.80260592932915,0.1810423597424106,881.963920610096,0.6749021856521391,0.4957181159530077,0.35630939115677795,182.22219378833032,3.625
491,S1510,0.5106204088486884,0.0,0,0.0,0.0,4.0,754.8488949832227,90.3550902468587,0.1514973002811749,852.7895077021116,0.642722559417744,0.45502862823938606,0.31976456416709903,181.19487000239414,3.4375
492,S0325,0.5105910626118846,0.0,0,0.0,0.0,4.0,904.9900610845406,106.56435588370778,0.14716287161688735,871.7959275370728,0.6458879280456287,0.46471604233425734,0.3777036931561232,166.6376681177441,3.25
